date,bpi_price,bpi_open,bpi_high,bpi_low,bpi_vol,bpi_change_pct,bdo_price,bdo_open,bdo_high,bdo_low,bdo_vol,bdo_change_pct,psei_price,psei_open,psei_high,psei_low,psei_vol,psei_change_pct,fx_price,fx_open,fx_high,fx_low,fx_vol,fx_change_pct,us10y_price,us10y_open,us10y_high,us10y_low,us10y_vol,us10y_change_pct
2019-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.435,52.48,52.483,52.435,440,-0.12,NA,NA,NA,NA,NA,NA
2019-01-02,94,94,94.5,92.55,921050,0,105.02,108,109.98,105.02,1350000,-2.9,7489.2,7496.57,7540.26,7465.76,52920,0.31,52.425,52.535,52.645,52.414,0,-0.02,2.6610000133514404,2.6519999504089355,2.678999900817871,2.6489999294281006,0,NA
2019-01-03,95,94,95,92.5,1960000,1.06,107.09,105.85,107.09,104.85,3560000,1.97,7680.6,7507.48,7680.6,7490.28,149810,2.56,52.566,52.55,52.72,52.43,0,0.27,2.553999900817871,2.6540000438690186,2.6559998989105225,2.553999900817871,0,-4.021048928850113
2019-01-04,93.5,94.55,95.05,93.5,2920000,-1.58,109.82,107,109.82,105.93,2190000,2.55,7761.11,7657.18,7801.5,7657.18,165430,1.05,52.475,52.594,52.684,52.425,240,-0.17,2.6589999198913574,2.5989999771118164,2.6730000972747803,2.5969998836517334,0,4.111199027057988
2019-01-05,93.5,94.55,95.05,93.5,2920000,-1.58,109.82,107,109.82,105.93,2190000,2.55,7761.11,7657.18,7801.5,7657.18,165430,1.05,52.475,52.594,52.684,52.425,240,-0.17,2.6589999198913574,2.5989999771118164,2.6730000972747803,2.5969998836517334,0,4.111199027057988
2019-01-06,93.5,94.55,95.05,93.5,2920000,-1.58,109.82,107,109.82,105.93,2190000,2.55,7761.11,7657.18,7801.5,7657.18,165430,1.05,52.475,52.594,52.684,52.425,240,-0.17,2.6589999198913574,2.5989999771118164,2.6730000972747803,2.5969998836517334,0,4.111199027057988
2019-01-07,93,94,95.7,93,2520000,-0.53,107.09,109.98,110.23,107.09,1820000,-2.49,7787.66,7800.88,7900.7,7787.66,178610,0.34,52.438,52.48,52.505,52.31,3850,-0.07,2.681999921798706,2.634000062942505,2.687000036239624,2.631999969482422,0,0.8649869349484085
2019-01-08,91.8,94.7,94.7,91.8,1460000,-1.29,106.67,107.5,108.33,106.67,1580000,-0.39,7702.12,7820.26,7826.08,7702.12,130539.99999999999,-1.1,52.455,52.456,52.596,52.406,3860,0.03,2.7160000801086426,2.7009999752044678,2.7170000076293945,2.696000099182129,0,1.2677166033298715
2019-01-09,93,92.5,93.5,91.8,2310000,1.31,107.75,107.91,108.99,107.58,5600000,1.01,7919.67,7775.21,7919.67,7765.91,172180,2.82,52.25,52.42,52.485,52.25,0,-0.39,2.7279999256134033,2.747999906539917,2.747999906539917,2.7119998931884766,0,0.44182051365333486
2019-01-10,94.5,93.7,95.65,92.5,3570000,1.61,108.57,108.91,109.57,108.16,4820000,0.76,7985.23,7931.87,7992.33,7898.63,183790,0.83,52.24,52.31,52.33,52.06,210,-0.02,2.7309999465942383,2.7060000896453857,2.7330000400543213,2.696000099182129,0,0.10997144657767244
2019-01-11,90,92.5,93,89.7,7430000,-4.76,108.57,107.91,108.57,105.68,3690000,0,7904.09,7965.44,7965.44,7855.69,142710,-1.02,52.157,52.339,52.339,51.993,0,-0.16,2.7009999752044678,2.7100000381469727,2.7130000591278076,2.680999994277954,0,-1.0984976922896905
2019-01-12,90,92.5,93,89.7,7430000,-4.76,108.57,107.91,108.57,105.68,3690000,0,7904.09,7965.44,7965.44,7855.69,142710,-1.02,52.157,52.339,52.339,51.993,0,-0.16,2.7009999752044678,2.7100000381469727,2.7130000591278076,2.680999994277954,0,-1.0984976922896905
2019-01-13,90,92.5,93,89.7,7430000,-4.76,108.57,107.91,108.57,105.68,3690000,0,7904.09,7965.44,7965.44,7855.69,142710,-1.02,52.157,52.339,52.339,51.993,0,-0.16,2.7009999752044678,2.7100000381469727,2.7130000591278076,2.680999994277954,0,-1.0984976922896905
2019-01-14,91.9,89.95,92.3,89.3,1840000,2.11,108.82,106.09,109.15,106.09,2490000,0.23,8024.14,7886.4,8024.14,7818.95,135680,1.52,52.197,52.228,52.343,52.158,0,0.08,2.7100000381469727,2.671999931335449,2.7100000381469727,2.671999931335449,0,0.33321225565074997
2019-01-15,93.8,91.9,93.85,91,2300000,2.07,108.24,108.82,108.82,106.76,3190000,-0.53,8013.42,8009.08,8027.92,7976.43,143930,-0.13,52.05,52.23,52.25,52.015,0,-0.28,2.7109999656677246,2.6989998817443848,2.7219998836517334,2.678999900817871,0,0.03689769397330345
2019-01-16,94.5,93.4,94.5,92,2180000,0.75,107.09,108.24,108.74,107.09,1300000,-1.06,7864.7,7983.46,7990.65,7848.7,130160,-1.86,52.175,52.03,52.27,52.01,30,0.24,2.7309999465942383,2.7339999675750732,2.743000030517578,2.7170000076293945,0,0.7377344588636925
2019-01-17,93,94.35,94.35,92.5,2020000,-1.59,108.33,106.84,108.33,105.93,2700000,1.16,7927.2,7866.42,7937.98,7865.13,216710,0.79,52.452,52.267,52.682,52.147,3980,0.53,2.749000072479248,2.7109999656677246,2.760999917984009,2.7070000171661377,0,0.6591038534239813
2019-01-18,93.1,93,94.85,92.75,1930000,0.11,109.15,108.74,111.63,108.66,8440000,0.76,8047.12,7932.11,8057.57,7919.5,174370,1.51,52.65,52.45,52.728,52.4,3910,0.38,2.7839999198913574,2.7639999389648438,2.7990000247955322,2.753999948501587,0,1.2731846667629831
2019-01-19,93.1,93,94.85,92.75,1930000,0.11,109.15,108.74,111.63,108.66,8440000,0.76,8047.12,7932.11,8057.57,7919.5,174370,1.51,52.65,52.45,52.728,52.4,3910,0.38,2.7839999198913574,2.7639999389648438,2.7990000247955322,2.753999948501587,0,1.2731846667629831
