"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","6,049.17","6,009.37","6,057.97","5,995.25","75.36M","1.68%"
"03/31/2026","5,948.94","5,851.66","5,948.94","5,828.67","173.33K","1.35%"
"03/30/2026","5,869.49","5,938.16","5,938.16","5,823.49","146.62K","-1.73%"
"03/27/2026","5,972.83","5,963.95","5,980.16","5,927.37","96.40K","-0.19%"
"03/26/2026","5,984.20","6,062.09","6,062.09","5,984.20","76.61K","-0.99%"
"03/25/2026","6,044.17","5,960.63","6,044.17","5,960.24","103.68K","1.82%"
"03/24/2026","5,936.20","5,922.78","5,948.64","5,911.84","78.17K","0.63%"
"03/23/2026","5,899.18","5,951.94","5,951.94","5,816.82","130.44K","-1.98%"
"03/19/2026","6,018.62","5,993.87","6,018.62","5,934.68","137.32K","-0.61%"
"03/18/2026","6,055.45","6,005.46","6,055.45","5,998.21","73.46K","0.49%"
"03/17/2026","6,026.01","6,031.88","6,073.10","6,014.52","96.87K","0.32%"
"03/16/2026","6,006.55","6,048.98","6,048.98","5,970.32","96.00K","-0.86%"
"03/13/2026","6,058.94","6,090.94","6,099.41","6,058.94","89.47K","-0.89%"
"03/12/2026","6,113.58","6,151.17","6,151.56","6,066.84","96.63K","-0.73%"
"03/11/2026","6,158.33","6,176.53","6,212.95","6,158.33","109.49K","0.52%"
"03/10/2026","6,126.66","6,085.46","6,150.00","6,085.46","93.40K","2.01%"
"03/09/2026","6,006.22","6,198.45","6,198.45","5,938.39","148.28K","-4.97%"
"03/06/2026","6,320.41","6,352.54","6,364.51","6,284.98","83.55K","-0.94%"
"03/05/2026","6,380.53","6,325.17","6,380.53","6,312.09","80.71K","1.15%"
"03/04/2026","6,307.84","6,428.64","6,441.99","6,247.98","161.05K","-2.13%"
"03/03/2026","6,445.38","6,430.41","6,496.30","6,421.44","118.11K","0.29%"
"03/02/2026","6,426.83","6,461.94","6,500.18","6,425.07","131.83K","-2.79%"
"02/27/2026","6,611.24","6,607.79","6,616.45","6,554.39","198.61K","-0.21%"
"02/26/2026","6,625.46","6,622.24","6,673.61","6,622.24","97.20K","0.08%"
"02/25/2026","6,619.87","6,551.12","6,667.50","6,529.90","120.59K","1.10%"
"02/24/2026","6,547.98","6,508.82","6,547.98","6,482.13","108.05K","0.92%"
"02/23/2026","6,488.51","6,468.91","6,534.00","6,468.91","93.72K","0.36%"
"02/20/2026","6,465.12","6,406.08","6,465.12","6,387.15","117.93K","0.90%"
"02/19/2026","6,407.15","6,412.35","6,427.90","6,387.73","136.76K","0.19%"
"02/18/2026","6,394.77","6,375.96","6,395.19","6,348.72","158.25K","0.41%"
"02/16/2026","6,368.55","6,389.49","6,389.49","6,328.68","135.24K","-0.25%"
"02/13/2026","6,384.58","6,481.17","6,481.17","6,384.58","105.39K","-1.34%"
"02/12/2026","6,471.25","6,517.19","6,519.48","6,454.43","100.53K","-0.42%"
"02/11/2026","6,498.82","6,492.33","6,543.35","6,474.04","90.44K","0.37%"
"02/10/2026","6,474.60","6,383.98","6,474.60","6,383.98","87.56K","1.98%"
"02/09/2026","6,349.16","6,402.71","6,458.79","6,349.16","92.90K","-0.65%"
"02/06/2026","6,390.91","6,383.05","6,400.90","6,357.86","107.46K","0.14%"
"02/05/2026","6,382.04","6,398.07","6,412.64","6,382.04","98.39K","0.14%"
"02/04/2026","6,372.95","6,408.71","6,424.18","6,372.95","108.89K","-0.45%"
"02/03/2026","6,401.96","6,314.19","6,401.96","6,314.19","102.05K","1.67%"
"02/02/2026","6,297.08","6,339.37","6,345.16","6,284.46","107.22K","-0.50%"
"01/30/2026","6,328.97","6,253.45","6,328.97","6,212.69","249.40K","1.70%"
"01/29/2026","6,223.36","6,365.46","6,365.46","6,215.80","108.78K","-2.08%"
"01/28/2026","6,355.78","6,303.34","6,355.78","6,287.04","143.48K","0.78%"
"01/27/2026","6,306.90","6,283.69","6,331.72","6,283.69","159.23K","0.53%"
